idloan,aqcisition_date,date_of_devolution,book_idbook,user_iduser,confirm_devolution
396,2024-11-05 11:19:33,NULL,13440,16,0
397,2024-11-05 11:18:52,NULL,14169,16,0
398,2024-11-05 11:17:31,NULL,6909,16,0
399,2024-11-05 11:16:24,NULL,6908,16,0
400,2024-11-05 11:14:22,NULL,16515,16,0
401,2024-11-05 11:13:36,NULL,14397,16,0
402,2024-11-05 11:12:38,NULL,16335,16,0
403,2024-11-05 11:11:47,NULL,2343,16,0
404,2024-11-05 11:10:41,NULL,6979,16,0
405,2024-11-05 11:09:55,NULL,7756,16,0
406,2024-11-05 11:09:02,NULL,2551,16,0
407,2024-11-05 11:07:28,NULL,2477,16,0
408,2024-11-05 11:06:22,NULL,16964,16,0
409,2024-11-05 11:04:20,NULL,13277,16,0
410,2024-11-05 11:02:46,NULL,14167,16,0
411,2024-11-05 10:46:12,NULL,7432,351,0
412,2024-11-05 10:36:42,NULL,15410,353,0
413,2024-11-05 10:35:49,NULL,14963,353,0
414,2024-11-05 10:00:49,NULL,17533,20,0
415,2024-11-05 09:59:45,NULL,11499,20,0
416,2024-11-05 09:59:20,NULL,1110,20,0
417,2024-11-05 09:58:46,NULL,5997,20,0
418,2024-11-05 09:58:18,NULL,6834,20,0
419,2024-11-05 09:57:53,NULL,16750,20,0
420,2024-11-05 09:57:27,NULL,3184,20,0
421,2024-11-05 09:57:05,NULL,13435,20,0
422,2024-11-05 09:56:28,NULL,7243,20,0
423,2024-10-29 12:48:19,NULL,11922,61,0
424,2024-10-29 12:20:52,NULL,17184,61,0
425,2024-10-29 12:20:04,NULL,17183,61,0
426,2024-10-29 12:19:19,NULL,17182,61,0
427,2024-10-29 12:18:24,NULL,17181,61,0
428,2024-10-29 12:17:42,NULL,17180,61,0
429,2024-10-29 12:17:07,NULL,17179,61,0
430,2024-10-29 12:16:21,NULL,17178,61,0
431,2024-10-29 12:15:47,NULL,17177,61,0
432,2024-10-29 12:14:45,NULL,17176,61,0
433,2024-10-29 12:14:03,NULL,17175,61,0
434,2024-10-29 12:13:17,NULL,11911,61,0
435,2024-10-29 12:12:40,NULL,5550,61,0
436,2024-10-29 12:11:09,NULL,13661,61,0
437,2024-10-29 11:10:05,NULL,1289,61,0
438,2024-10-29 11:09:06,NULL,17529,61,0
439,2024-10-29 10:59:36,NULL,5692,61,0
440,2024-10-29 10:59:00,NULL,5801,61,0
441,2024-10-29 10:58:11,NULL,11471,61,0
442,2024-10-29 10:57:42,NULL,5313,61,0
443,2024-10-29 10:57:06,NULL,11545,61,0
444,2024-10-29 10:56:11,NULL,6033,61,0
445,2024-10-29 10:49:24,NULL,5085,61,0
446,2024-10-29 10:48:46,NULL,4135,61,0
447,2024-10-29 10:42:16,NULL,5480,61,0
448,2024-10-29 10:40:05,NULL,15213,349,0
449,2024-10-29 10:13:10,NULL,17174,61,0
450,2024-10-29 10:12:42,NULL,17173,61,0
451,2024-10-29 10:11:24,NULL,17171,61,0
452,2024-10-28 10:13:28,NULL,14290,284,0
453,2024-10-25 10:27:57,NULL,14723,342,0
454,2024-10-24 11:32:23,NULL,5249,168,0
455,2024-10-24 11:31:30,NULL,16046,168,0
456,2024-10-24 11:28:43,NULL,12561,165,0
457,2024-10-24 11:25:01,NULL,7033,169,0
458,2024-10-24 10:40:28,NULL,7070,291,0
459,2024-10-24 10:34:48,NULL,7563,285,0
460,2024-10-24 09:31:46,NULL,4214,431,0
461,2024-10-24 09:30:41,NULL,7258,431,0
462,2024-10-24 09:26:11,NULL,16239,266,0
463,2024-10-24 07:40:44,NULL,7244,253,0
464,2024-10-23 13:54:28,NULL,5726,372,0
465,2024-10-23 13:53:15,NULL,6805,372,0
466,2024-10-23 13:40:12,NULL,9600,365,0
467,2024-10-23 11:39:31,NULL,16322,377,0
468,2024-10-23 11:38:04,NULL,6496,379,0
469,2024-10-23 11:36:41,NULL,2480,379,0
470,2024-10-23 11:34:36,NULL,16992,381,0
471,2024-10-23 11:33:45,NULL,6537,381,0
472,2024-10-23 11:32:27,NULL,14224,376,0
473,2024-10-23 11:00:37,NULL,16389,413,0
474,2024-10-23 09:49:00,NULL,5611,394,0
475,2024-10-23 09:43:05,NULL,2844,392,0
476,2024-10-22 13:51:38,NULL,5712,320,0
477,2024-10-22 13:47:49,NULL,7488,314,0
478,2024-10-22 13:46:29,NULL,14550,314,0
479,2024-10-22 13:44:30,NULL,7110,319,0
480,2024-10-22 13:41:09,NULL,6737,311,0
481,2024-10-22 13:32:26,NULL,5642,313,0
482,2024-10-22 13:19:50,NULL,14270,306,0
483,2024-10-22 12:44:56,NULL,15144,345,0
484,2024-10-22 12:38:06,NULL,6490,346,0
485,2024-10-22 12:35:42,NULL,7263,346,0
486,2024-10-18 10:38:25,NULL,16480,340,0
487,2024-10-18 08:16:44,NULL,12100,58,0
488,2024-10-18 08:16:11,NULL,12098,58,0
489,2024-10-18 08:15:10,NULL,12108,58,0
490,2024-10-18 08:14:35,NULL,12130,58,0
491,2024-10-18 08:14:07,NULL,12129,58,0
492,2024-10-18 08:13:41,NULL,12123,58,0
493,2024-10-18 08:12:51,NULL,12121,58,0
494,2024-10-18 08:12:09,NULL,12118,58,0
495,2024-10-18 08:11:30,NULL,12112,58,0
496,2024-10-18 08:10:44,NULL,12127,58,0
497,2024-10-18 08:10:08,NULL,12131,58,0
498,2024-10-18 08:09:17,NULL,12117,58,0
499,2024-10-18 08:07:55,NULL,12103,58,0
500,2024-10-18 08:07:15,NULL,12097,58,0
501,2024-10-18 08:06:32,NULL,15079,58,0
502,2024-10-18 08:05:32,NULL,12094,58,0
503,2024-10-18 08:04:54,NULL,12109,58,0
504,2024-10-18 08:03:37,NULL,12110,58,0
505,2024-10-17 12:11:35,NULL,17041,58,0
506,2024-10-17 11:45:56,NULL,17042,58,0
507,2024-10-17 11:45:04,NULL,17043,58,0
508,2024-10-17 11:44:13,NULL,17040,58,0
509,2024-10-17 11:43:30,NULL,17044,58,0
510,2024-10-17 11:42:42,NULL,17038,58,0
511,2024-10-17 11:38:54,NULL,14098,263,0
512,2024-10-17 11:36:52,NULL,17039,58,0
513,2024-10-17 11:35:39,NULL,17037,58,0
514,2024-10-17 11:16:39,NULL,,160,0
515,2024-10-17 11:15:43,NULL,15163,160,0
516,2024-10-17 08:27:00,NULL,12612,74,0
517,2024-10-16 13:51:06,NULL,8807,360,0
518,2024-10-16 12:36:15,NULL,3221,435,0
519,2024-10-16 12:34:53,NULL,2405,433,0
520,2024-10-16 11:35:30,NULL,15202,379,0
521,2024-10-16 11:35:04,NULL,12908,379,0
522,2024-10-16 11:34:31,NULL,8146,383,0
523,2024-10-16 11:33:53,NULL,16323,383,0
524,2024-10-16 11:31:08,NULL,5584,380,0
525,2024-10-16 11:30:38,NULL,3438,380,0
526,2024-10-16 11:23:58,NULL,16574,376,0
527,2024-10-16 11:23:24,NULL,8237,376,0
528,2024-10-16 11:22:45,NULL,8126,377,0
529,2024-10-16 11:15:22,NULL,3182,374,0
530,2024-10-16 10:41:12,NULL,17382,16,0
